content_type,url,status,final_url,indexable,robots,canonical,self_canonical,declared_language,body_language_heuristic,hreflang_count,hreflang_targets,hreflang_targets_200,hreflang_reciprocal,word_count,similarity_to_english,gsc_clicks,gsc_impressions,gsc_last_crawled,error
blog,https://geekskai.com/blog/news/retirement-planning-beyond-savings/,200,https://geekskai.com/blog/news/retirement-planning-beyond-savings/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/retirement-planning-beyond-savings/,yes,en,unknown,0,,unknown,unknown,25,,,,,
blog,https://geekskai.com/blog/news/suplementy-sportowe-jako-narzedzie-osiagania-celow-treningowych/,200,https://geekskai.com/blog/news/suplementy-sportowe-jako-narzedzie-osiagania-celow-treningowych/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/suplementy-sportowe-jako-narzedzie-osiagania-celow-treningowych/,yes,en,unknown,0,,unknown,unknown,21,,,,,
blog,https://geekskai.com/blog/news/beyond-the-microscope-how-pathology-labs-embrace-ai-adoption/,200,https://geekskai.com/blog/news/beyond-the-microscope-how-pathology-labs-embrace-ai-adoption/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/beyond-the-microscope-how-pathology-labs-embrace-ai-adoption/,yes,en,unknown,0,,unknown,unknown,23,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-core-react/,200,https://geekskai.com/blog/react/react-js-interview-questions-core-react/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-core-react/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-arrays-lists/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-arrays-lists/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-arrays-lists/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-forms-events/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-forms-events/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-forms-events/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-hooks/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-hooks/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-hooks/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-internationalization/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-internationalization/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-internationalization/,yes,en,unknown,0,,unknown,unknown,19,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-libraries-integration/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-libraries-integration/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-libraries-integration/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-miscellaneous/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-miscellaneous/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-miscellaneous/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-redux/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-redux/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-redux/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-rendering-performance/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-rendering-performance/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-rendering-performance/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-router/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-router/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-router/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-state-management/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-state-management/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-state-management/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/react/react-js-interview-questions-react-testing/,200,https://geekskai.com/blog/react/react-js-interview-questions-react-testing/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/react/react-js-interview-questions-react-testing/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/business/americas-food-culture-a-riders-guide-to-culinary-adventure-routes/,200,https://geekskai.com/blog/business/americas-food-culture-a-riders-guide-to-culinary-adventure-routes/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/business/americas-food-culture-a-riders-guide-to-culinary-adventure-routes/,yes,en,unknown,0,,unknown,unknown,27,,,,,
blog,https://geekskai.com/blog/business/modern-vs-traditional-which-kitchen-remodeling-style-fits-your-home/,200,https://geekskai.com/blog/business/modern-vs-traditional-which-kitchen-remodeling-style-fits-your-home/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/business/modern-vs-traditional-which-kitchen-remodeling-style-fits-your-home/,yes,en,unknown,0,,unknown,unknown,25,,,,,
blog,https://geekskai.com/blog/ai/why-ai-generated-presentations-are-becoming-a-must-have-for-teams/,200,https://geekskai.com/blog/ai/why-ai-generated-presentations-are-becoming-a-must-have-for-teams/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/why-ai-generated-presentations-are-becoming-a-must-have-for-teams/,yes,en,unknown,0,,unknown,unknown,25,,,,,
blog,https://geekskai.com/blog/news/trenbolon-ist-ein-anabolisches-steroid-das-in-der-bodybuilding-und-fitnessgemeinschaft-weit-verbreitet-ist/,200,https://geekskai.com/blog/news/trenbolon-ist-ein-anabolisches-steroid-das-in-der-bodybuilding-und-fitnessgemeinschaft-weit-verbreitet-ist/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/trenbolon-ist-ein-anabolisches-steroid-das-in-der-bodybuilding-und-fitnessgemeinschaft-weit-verbreitet-ist/,yes,en,unknown,0,,unknown,unknown,28,,,,,
blog,https://geekskai.com/blog/news/what-goes-into-creating-a-drone-video-for-a-company/,200,https://geekskai.com/blog/news/what-goes-into-creating-a-drone-video-for-a-company/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/what-goes-into-creating-a-drone-video-for-a-company/,yes,en,unknown,0,,unknown,unknown,25,,,,,
blog,https://geekskai.com/blog/news/how-bail-bonds-work-a-step-by-step-guide-to-getting-a-loved-one-released-fast/,200,https://geekskai.com/blog/news/how-bail-bonds-work-a-step-by-step-guide-to-getting-a-loved-one-released-fast/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/how-bail-bonds-work-a-step-by-step-guide-to-getting-a-loved-one-released-fast/,yes,en,unknown,0,,unknown,unknown,30,,,,,
blog,https://geekskai.com/blog/news/embracing-the-best-local-seo-practices-for-2025-and-beyond-2/,200,https://geekskai.com/blog/news/embracing-the-best-local-seo-practices-for-2025-and-beyond-2/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/embracing-the-best-local-seo-practices-for-2025-and-beyond-2/,yes,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/news/embracing-the-best-local-seo-practices-for-2025-and-beyond/,200,https://geekskai.com/blog/news/embracing-the-best-local-seo-practices-for-2025-and-beyond/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/embracing-the-best-local-seo-practices-for-2025-and-beyond/,yes,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/news/using-seo-tools-to-grow-your-small-business/,200,https://geekskai.com/blog/news/using-seo-tools-to-grow-your-small-business/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/using-seo-tools-to-grow-your-small-business/,yes,en,unknown,0,,unknown,unknown,28,,,,,
blog,https://geekskai.com/blog/news/due-diligence-in-business/,200,https://geekskai.com/blog/news/due-diligence-in-business/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/due-diligence-in-business/,yes,en,unknown,0,,unknown,unknown,23,,,,,
blog,https://geekskai.com/blog/news/things-a-car-accident-attorney-can-do-for-you-key-benefits/,200,https://geekskai.com/blog/news/things-a-car-accident-attorney-can-do-for-you-key-benefits/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/things-a-car-accident-attorney-can-do-for-you-key-benefits/,yes,en,unknown,0,,unknown,unknown,25,,,,,
blog,https://geekskai.com/blog/ai/discord-timestamp-generator-complete-guide/,200,https://geekskai.com/blog/ai/discord-timestamp-generator-complete-guide/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/discord-timestamp-generator-complete-guide/,yes,en,unknown,0,,unknown,unknown,22,,,,,
blog,https://geekskai.com/blog/guide/polish-social-media-algorithms-how-content-appears-before-poland-audiences/,200,https://geekskai.com/blog/guide/polish-social-media-algorithms-how-content-appears-before-poland-audiences/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/guide/polish-social-media-algorithms-how-content-appears-before-poland-audiences/,yes,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/android/content-cz-mobilesoft-appblock-fileprovider-cache-blank-html/,200,https://geekskai.com/blog/android/content-cz-mobilesoft-appblock-fileprovider-cache-blank-html/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/android/content-cz-mobilesoft-appblock-fileprovider-cache-blank-html/,yes,en,unknown,0,,unknown,unknown,26,,,,,
blog,https://geekskai.com/blog/ai/website-growth-solutions-garage2global/,200,https://geekskai.com/blog/ai/website-growth-solutions-garage2global/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/website-growth-solutions-garage2global/,yes,en,unknown,0,,unknown,unknown,23,,,,,
blog,https://geekskai.com/blog/ai/how-predictive-ai-tools-can-identify-invisible-risks-for-businesses/,200,https://geekskai.com/blog/ai/how-predictive-ai-tools-can-identify-invisible-risks-for-businesses/,no,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/how-predictive-ai-tools-can-identify-invisible-risks-for-businesses/,no,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/online-earning-through-guest-posts-a-smart-way-to-monetize-your-expertise/,200,https://geekskai.com/blog/online-earning-through-guest-posts-a-smart-way-to-monetize-your-expertise/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/online-earning-through-guest-posts-a-smart-way-to-monetize-your-expertise/,yes,en,unknown,0,,unknown,unknown,26,,,,,
blog,https://geekskai.com/blog/ai/how-to-build-mcp-server-for-llms/,200,https://geekskai.com/blog/ai/how-to-build-mcp-server-for-llms/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/how-to-build-mcp-server-for-llms/,yes,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/ai/best-ai-stocks-smart-investment-guide/,200,https://geekskai.com/blog/ai/best-ai-stocks-smart-investment-guide/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/best-ai-stocks-smart-investment-guide/,yes,en,unknown,0,,unknown,unknown,22,,,,,
blog,https://geekskai.com/blog/ai/understanding-mtp-media-transfer-protocol-basics/,200,https://geekskai.com/blog/ai/understanding-mtp-media-transfer-protocol-basics/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/understanding-mtp-media-transfer-protocol-basics/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/ai/50-fun-engaging-drawing-prompts-2025/,200,https://geekskai.com/blog/ai/50-fun-engaging-drawing-prompts-2025/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/50-fun-engaging-drawing-prompts-2025/,yes,en,unknown,0,,unknown,unknown,22,,,,,
blog,https://geekskai.com/blog/ai/resolve-err-ssl-protocol-error-guide/,200,https://geekskai.com/blog/ai/resolve-err-ssl-protocol-error-guide/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/resolve-err-ssl-protocol-error-guide/,yes,en,unknown,0,,unknown,unknown,23,,,,,
blog,https://geekskai.com/blog/guide/mastering-pephop-ai-essential-features-you-need/,200,https://geekskai.com/blog/guide/mastering-pephop-ai-essential-features-you-need/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/guide/mastering-pephop-ai-essential-features-you-need/,yes,en,unknown,0,,unknown,unknown,21,,,,,
blog,https://geekskai.com/blog/ai/7-ways-undressing-ai-shaping-privacy-ethics-2025/,200,https://geekskai.com/blog/ai/7-ways-undressing-ai-shaping-privacy-ethics-2025/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/7-ways-undressing-ai-shaping-privacy-ethics-2025/,yes,en,unknown,0,,unknown,unknown,25,,,,,
blog,https://geekskai.com/blog/ai/claude-4-features-that-simplify-your-work/,200,https://geekskai.com/blog/ai/claude-4-features-that-simplify-your-work/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/claude-4-features-that-simplify-your-work/,yes,en,unknown,0,,unknown,unknown,32,,,,,
blog,https://geekskai.com/blog/news/the-power-of-an-seo-link-builder-why-backlinks-still-matter-in-2025/,200,https://geekskai.com/blog/news/the-power-of-an-seo-link-builder-why-backlinks-still-matter-in-2025/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/news/the-power-of-an-seo-link-builder-why-backlinks-still-matter-in-2025/,yes,en,unknown,0,,unknown,unknown,27,,,,,
blog,https://geekskai.com/blog/ai/ai-mcp-for-beginners/,200,https://geekskai.com/blog/ai/ai-mcp-for-beginners/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/ai-mcp-for-beginners/,yes,en,unknown,0,,unknown,unknown,18,,,,,
blog,https://geekskai.com/blog/ai/ai-multi-agent-control-platform/,200,https://geekskai.com/blog/ai/ai-multi-agent-control-platform/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/ai-multi-agent-control-platform/,yes,en,unknown,0,,unknown,unknown,23,,,,,
blog,https://geekskai.com/blog/ai/cursor-ide-tutorial-ai-powered-development-best-practices/,200,https://geekskai.com/blog/ai/cursor-ide-tutorial-ai-powered-development-best-practices/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/cursor-ide-tutorial-ai-powered-development-best-practices/,yes,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/guide/master-investiitcom-tips-beginners-guide/,200,https://geekskai.com/blog/guide/master-investiitcom-tips-beginners-guide/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/guide/master-investiitcom-tips-beginners-guide/,yes,en,unknown,0,,unknown,unknown,20,,,,,
blog,https://geekskai.com/blog/guide/multiply-your-earnings-6x-with-money6xcom/,200,https://geekskai.com/blog/guide/multiply-your-earnings-6x-with-money6xcom/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/guide/multiply-your-earnings-6x-with-money6xcom/,yes,en,unknown,0,,unknown,unknown,21,,,,,
blog,https://geekskai.com/blog/how-does-color-accuracy-affect-your-experience-with-a-portable-monitor/,200,https://geekskai.com/blog/how-does-color-accuracy-affect-your-experience-with-a-portable-monitor/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/how-does-color-accuracy-affect-your-experience-with-a-portable-monitor/,yes,en,unknown,0,,unknown,unknown,26,,,,,
blog,https://geekskai.com/blog/how-ai-websites-and-tools-empower-small-businesses/,200,https://geekskai.com/blog/how-ai-websites-and-tools-empower-small-businesses/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/how-ai-websites-and-tools-empower-small-businesses/,yes,en,unknown,0,,unknown,unknown,22,,,,,
blog,https://geekskai.com/blog/guide/how-to-install-turbo-tax-with-a-license-code/,200,https://geekskai.com/blog/guide/how-to-install-turbo-tax-with-a-license-code/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/guide/how-to-install-turbo-tax-with-a-license-code/,yes,en,unknown,0,,unknown,unknown,36,,,,,
blog,https://geekskai.com/blog/guide/exclusive-monopoly-go-dice-links-for-ultimate-gaming/,200,https://geekskai.com/blog/guide/exclusive-monopoly-go-dice-links-for-ultimate-gaming/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/guide/exclusive-monopoly-go-dice-links-for-ultimate-gaming/,yes,en,unknown,0,,unknown,unknown,22,,,,,
blog,https://geekskai.com/blog/guide/lessons-learned-the-traveler-hired-the-wrong-tour-guide/,200,https://geekskai.com/blog/guide/lessons-learned-the-traveler-hired-the-wrong-tour-guide/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/guide/lessons-learned-the-traveler-hired-the-wrong-tour-guide/,yes,en,unknown,0,,unknown,unknown,23,,,,,
blog,https://geekskai.com/blog/guide/how-consumer-goods-intelligence-tools-help-optimize-product-performance-in-the-usa-market/,200,https://geekskai.com/blog/guide/how-consumer-goods-intelligence-tools-help-optimize-product-performance-in-the-usa-market/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/guide/how-consumer-goods-intelligence-tools-help-optimize-product-performance-in-the-usa-market/,yes,en,unknown,0,,unknown,unknown,27,,,,,
